11358640|Janitor|Ward|15 - Oct - 86|10 - Oct - 95
14132035|Psychologist|Ward|21 - Sep - 84|12 - Feb - 02
14139883|Janitor|Hospital|6 - Jul - 81|5 - Feb - 99
14289723|RN|Hospital|6 - Jan - 87|4 - Sep - 95
14635826|RN|Clinic|1 - Jun - 86|21 - Dec - 98
15311951|Nurse|Ward|12 - Feb - 86|14 - Sep - 01
15608524|Doctor|Ward|27 - Sep - 83|4 - May - 07
15982979|Surgen|Hospital|1 - Feb - 85|5 - May - 09
16214367|Nurse|Hospital|27 - Aug - 87|6 - Apr - 01
16798530|Surgen|Hospital|6 - Mar - 88|8 - Mar - 98
17128191|Nurse|Clinic|26 - Oct - 82|13 - Jan - 90
18188898|Surgen|Clinic|22 - Nov - 89|19 - Sep - 00
18314141|RN|Ward|3 - Feb - 83|23 - Oct - 90
19067314|Doctor|Hospital|6 - Jun - 82|26 - Aug - 94
19277732|Doctor|Hospital|12 - Jan - 85|23 - Nov - 94
19724546|Psychologist|Hospital|5 - Feb - 82|3 - Apr - 08
20014973|Nurse|Ward|2 - Jun - 84|23 - Jan - 90
20939033|Psychologist|Clinic|17 - Feb - 81|8 - Apr - 94
23759888|Psychologist|Clinic|22 - Oct - 82|28 - Nov - 92
24189426|Psychologist|Hospital|25 - Mar - 84|25 - Jan - 05
24985247|Doctor|Clinic|3 - Jan - 86|7 - Feb - 93
25392359|Psychologist|Ward|16 - Jan - 85|25 - Aug - 08
25821006|Nurse|Ward|26 - Dec - 86|25 - Dec - 04
26113999|Janitor|Hospital|5 - Oct - 83|21 - Dec - 96
26211109|Doctor|Ward|6 - Nov - 89|12 - Nov - 06
27027284|Psychologist|Clinic|12 - Mar - 85|2 - Oct - 06
27614644|Surgen|Clinic|26 - Apr - 83|10 - Mar - 91
29063460|RN|Hospital|9 - Dec - 81|17 - Apr - 06
29103093|RN|Clinic|15 - Nov - 84|13 - May - 96
30563704|Janitor|Ward|16 - Apr - 82|31 - Dec - 93
30595990|Doctor|Hospital|17 - Sep - 88|24 - Jan - 91
30649213|Surgen|Ward|24 - Jul - 83|28 - Jan - 05
30889098|Surgen|Ward|8 - Jun - 85|20 - Feb - 99
32830193|Nurse|Clinic|5 - Jan - 89|24 - Nov - 96
34168083|Psychologist|Clinic|14 - Jul - 81|30 - Jun - 01
34921758|Surgen|Ward|3 - Jan - 89|7 - Jun - 02
36728760|Nurse|Hospital|3 - Feb - 83|24 - Oct - 06
37014047|Nurse|Clinic|23 - Nov - 88|21 - Sep - 06
37058177|Psychologist|Hospital|30 - Dec - 82|17 - Feb - 93
37419973|Psychologist|Hospital|20 - Oct - 87|27 - Mar - 03
37821956|Doctor|Clinic|29 - Oct - 87|25 - Jun - 00
37877749|Doctor|Clinic|16 - Apr - 84|4 - May - 01
38260068|Doctor|Clinic|7 - May - 89|18 - Sep - 03
39279590|Janitor|Ward|17 - May - 85|28 - Jun - 99
39726187|Surgen|Hospital|21 - Feb - 87|31 - Mar - 09
39804930|Doctor|Clinic|4 - May - 85|24 - Apr - 96
40071322|Doctor|Clinic|27 - Jan - 83|26 - Sep - 96
41194532|Psychologist|Clinic|20 - Apr - 81|30 - May - 98
41273090|Doctor|Hospital|13 - May - 88|3 - Dec - 98
41548422|Psychologist|Ward|27 - Apr - 88|22 - Mar - 97
41855953|Psychologist|Hospital|21 - Apr - 83|11 - Dec - 07
42945748|Psychologist|Hospital|30 - Dec - 86|2 - Apr - 03
43008117|Surgen|Ward|6 - Mar - 85|25 - Oct - 09
43470544|Janitor|Hospital|6 - May - 87|29 - Feb - 08
43944706|RN|Hospital|20 - Apr - 86|19 - Sep - 93
44316069|RN|Clinic|3 - Nov - 86|16 - Sep - 93
44431165|Janitor|Clinic|22 - Oct - 87|16 - Jul - 92
45289346|Janitor|Ward|25 - Aug - 85|3 - Sep - 94
45469365|Nurse|Clinic|29 - Dec - 82|18 - Mar - 95
45688753|Psychologist|Hospital|2 - Mar - 88|7 - Apr - 06
46458364|Surgen|Ward|30 - Sep - 87|19 - Jun - 06
47080757|Nurse|Clinic|25 - Dec - 80|12 - May - 98
48275268|Surgen|Hospital|15 - Aug - 86|9 - Feb - 92
48300576|Surgen|Clinic|22 - Nov - 89|26 - Mar - 91
48738784|Surgen|Ward|29 - Jan - 85|9 - Oct - 97
50776413|Surgen|Clinic|13 - May - 86|8 - Mar - 98
51406697|RN|Ward|23 - Dec - 81|6 - Dec - 94
51858332|Surgen|Clinic|6 - Apr - 83|12 - Sep - 97
51907969|RN|Ward|4 - Aug - 81|14 - Jul - 01
52410612|Doctor|Clinic|13 - May - 89|9 - Mar - 01
52743144|Janitor|Hospital|12 - May - 87|14 - May - 02
53742218|Janitor|Ward|19 - Sep - 89|5 - Aug - 94
53973007|Janitor|Clinic|13 - Jul - 88|11 - Sep - 97
53990717|Psychologist|Hospital|22 - Jan - 89|25 - Jul - 97
54508648|Doctor|Clinic|1 - Jun - 84|3 - Oct - 90
